id,restaurant_id,name
204,21,Indian Specials 1
205,21,Indian Specials 2
206,21,Indian Specials 3
207,21,Indian Specials 4
208,21,Indian Specials 5
209,21,Indian Specials 6
210,21,Indian Specials 7
211,21,Indian Specials 8
212,21,Indian Specials 9
213,21,Indian Specials 10
214,22,Indian Specials 1
215,22,Indian Specials 2
216,22,Indian Specials 3
217,22,Indian Specials 4
218,22,Indian Specials 5
219,22,Indian Specials 6
220,22,Indian Specials 7
221,22,Indian Specials 8
222,22,Indian Specials 9
223,22,Indian Specials 10
224,23,Breakfast Specials 1
225,23,Breakfast Specials 2
226,23,Breakfast Specials 3
227,23,Breakfast Specials 4
228,23,Breakfast Specials 5
229,23,Breakfast Specials 6
230,23,Breakfast Specials 7
231,23,Breakfast Specials 8
232,23,Breakfast Specials 9
233,23,Breakfast Specials 10
234,24,Pizza Specials 1
235,24,Pizza Specials 2
236,24,Pizza Specials 3
237,24,Pizza Specials 4
238,24,Pizza Specials 5
239,24,Pizza Specials 6
240,24,Pizza Specials 7
241,24,Pizza Specials 8
242,24,Pizza Specials 9
243,24,Pizza Specials 10
244,25,Drinks Specials 1
245,25,Drinks Specials 2
246,25,Drinks Specials 3
247,25,Drinks Specials 4
248,25,Drinks Specials 5
249,25,Drinks Specials 6
250,25,Drinks Specials 7
251,25,Drinks Specials 8
252,25,Drinks Specials 9
253,25,Drinks Specials 10
254,26,BBQ Specials 1
255,26,BBQ Specials 2
256,26,BBQ Specials 3
257,26,BBQ Specials 4
258,26,BBQ Specials 5
259,26,BBQ Specials 6
260,26,BBQ Specials 7
261,26,BBQ Specials 8
262,26,BBQ Specials 9
263,26,BBQ Specials 10
264,27,BBQ Specials 1
265,27,BBQ Specials 2
266,27,BBQ Specials 3
267,27,BBQ Specials 4
268,27,BBQ Specials 5
269,27,BBQ Specials 6
270,27,BBQ Specials 7
271,27,BBQ Specials 8
272,27,BBQ Specials 9
273,27,BBQ Specials 10
274,28,Breakfast Specials 1
275,28,Breakfast Specials 2
276,28,Breakfast Specials 3
277,28,Breakfast Specials 4
278,28,Breakfast Specials 5
279,28,Breakfast Specials 6
280,28,Breakfast Specials 7
281,28,Breakfast Specials 8
282,28,Breakfast Specials 9
283,28,Breakfast Specials 10
284,29,Pizza Specials 1
285,29,Pizza Specials 2
286,29,Pizza Specials 3
287,29,Pizza Specials 4
288,29,Pizza Specials 5
289,29,Pizza Specials 6
290,29,Pizza Specials 7
291,29,Pizza Specials 8
292,29,Pizza Specials 9
293,29,Pizza Specials 10
294,30,BBQ Specials 1
295,30,BBQ Specials 2
296,30,BBQ Specials 3
297,30,BBQ Specials 4
298,30,BBQ Specials 5
299,30,BBQ Specials 6
300,30,BBQ Specials 7
301,30,BBQ Specials 8
302,30,BBQ Specials 9
303,30,BBQ Specials 10
